id,nombre,categoria,copias,texto,frase
E01,Neumonía Asociada a Ventilación Mecánica,RESPIRATORIO,1,"Un paciente tuyo pierde 2 ❤️.","Lleva ocho días intubado. Ya era esperable. No por eso duele menos."
E02,Extubación Accidental,RESPIRATORIO,1,"Descarta todos los recursos 📈 de un paciente tuyo.","Se sacó el tubo. Con las manos amarradas. Nadie sabe cómo."
E03,Sepsis Intrahospitalaria,INFECCIOSO,1,"Un paciente tuyo requiere 2 💊 adicionales para estabilizarse.","Estaba mejorando. Esa era la trampa."
E04,Delirium Hiperactivo,GENERAL,1,"Descarta 1 recurso 🧑‍⚕️ de un paciente tuyo.","Se sacó la sonda, la vía y el ánimo del turno."
E05,Úlcera por Presión,GENERAL,1,"Un paciente tuyo pierde 1 ❤️ y requiere 1 🧑‍⚕️ adicional.","Apareció en el cambio de turno. Nunca en el tuyo."
E06,Corte de Suministro,GENERAL,1,"TODOS tus pacientes pierden 1 ❤️.","El generador partió a los cuarenta segundos. Fueron cuarenta segundos largos."
E07,Se Perdió la Muestra,GENERAL,1,"Descarta 1 recurso 🩻 o 📈 de un paciente tuyo, a tu elección.","Se tomó. Se rotuló. Se envió. No llegó."
E08,Reacción Adversa a Fármaco,GENERAL,1,"Descarta todos los recursos 💊 de un paciente tuyo.","Alergia no consignada. Estaba en la ficha antigua. En papel."
E09,Paro Cardiorrespiratorio,GENERAL,1,"Un paciente tuyo queda con 1 ❤️.","Tres minutos que van a durar todo el año."
E10,Brote de Multirresistente,INFECCIOSO,1,"TODOS tus pacientes requieren 1 💊 adicional.","Aislamiento de contacto en toda la unidad. Otra vez."
E11,Reingreso Precoz,GENERAL,1,"Un paciente tuyo ✅ Estabilizado pierde esa ficha y vuelve a deteriorarse.","Volvió en catorce horas. Con la misma ropa."
E12,Colapso de Urgencias,GENERAL,1,"No puedes admitir pacientes nuevos en tu próximo turno. Las camas siguen vacías.","Hay veintidós esperando. Y tú no tienes dónde ponerlos."
E13,Error de Medicación,GENERAL,1,"Descarta 1 recurso 💊 de un paciente tuyo. Ese paciente pierde 1 ❤️.","Frascos parecidos. Letra parecida. Turno de noche."
E14,Caída de Cama,GENERAL,1,"Un paciente tuyo pierde 1 ❤️ y requiere 1 🩻 adicional.","Las barandas estaban arriba. Eso dirá el informe."
E15,Trombosis Venosa Profunda,GENERAL,1,"Un paciente tuyo pierde 2 ❤️ y requiere 1 📈 adicional.","La profilaxis estaba indicada. Indicada."
E16,Familia Litigante,GENERAL,1,"No puedes jugar cartas de Acción en tu próximo turno.","Trajeron un abogado. Y un cuaderno. Y anotan todo."
E17,Cambio de Turno Caótico,GENERAL,1,"Descarta 1 recurso al azar de CADA UNO de tus pacientes.","La entrega duró cuatro minutos. Se dijeron dos cosas."
E18,Atelectasia Masiva,RESPIRATORIO,1,"Un paciente tuyo pierde 1 ❤️ y requiere 1 🩻 adicional.","Todo el pulmón. Blanco. En una radiografía de control."
