id,nombre,tipo,simbolo,sistema,comodin,doble_en,restriccion,complicacion,hab,texto,soporte,previene,comp_nombre,comp_objetivo,comp_vida,comp_pide,comp_descarta,comp_texto,copias,frase
R01,Antibiótico de Amplio Espectro,FARMACOS,💊,,no,,,no,,,,,,,,,,,2,Cubre todo. Especialmente nuestra falta de diagnóstico.
R02,Antibiótico de Amplio Espectro,FARMACOS,💊,,no,,,si,,,,,Resistencia Antibiótica,ESTABLE,-1,,,Pierde 1 ❤️. Estaba estable con lo que le dimos. El cultivo dijo otra cosa.,1,Cubre todo. Especialmente nuestra falta de diagnóstico.
R46,Sedoanalgesia,FARMACOS,💊,QUIR,no,,,no,,,,,,,0,,,,2,Duerme él. Duerme la unidad. No duermes tú. '¿Del uno al diez?' 'Quince.'
R47,Sedoanalgesia,FARMACOS,💊,QUIR,no,,,si,,,,,Delirium en UCI,ESTE,-1,,,"Pierde 1 ❤️. Justo cuando despertaba: se sacó la sonda, la vía y el ánimo del turno.",1,Duerme él. Duerme la unidad. No duermes tú. '¿Del uno al diez?' 'Quince.'
R05,Anticoagulación,FARMACOS,💊,,no,,,no,,,,,,,,,,,1,Si sangra fue mucho. Si coagula fue poco. Nunca fue justo.
R06,Anticoagulación,FARMACOS,💊,,no,,,si,,,,,Sangrado,MEJOR,-1,,,Pierde 1 ❤️. Si sangra fue mucho. Si coagula fue poco. Nunca fue justo.,1,Si sangra fue mucho. Si coagula fue poco. Nunca fue justo.
R07,Hemoderivados,FARMACOS,💊,,no,,,no,,,,,,,,,,,2,"Llegaron. Sin la ficha, pero llegaron."
R08,Noradrenalina,FARMACOS,💊,CARD,no,,,no,,,,,,,,,,,2,La presión sube. La del paciente y la tuya.
R09,Noradrenalina,FARMACOS,💊,CARD,no,,,si,,,,,Taquicardia Ventricular,MEJOR,-1,,,Pierde 1 ❤️. El monitor hace el dibujo que nadie quiere ver.,1,La presión sube. La del paciente y la tuya.
R10,Broncodilatador en Nebulización,FARMACOS,💊,RESP,no,,,no,,,,,,,,,,,2,Sale más vapor que del baño turco. Algo tiene que estar llegando.
R13,Insulina en Bomba,FARMACOS,💊,METAB,no,,,no,,,,,,,,,,,2,Cada dos horas un hemoglucotest. Cada dos horas.
R48,Corticoides,FARMACOS,💊,,no,,,no,,,,,,,0,,,,1,"Sirven para todo. Suben el azúcar, el ánimo y la presión."
R49,Corticoides,FARMACOS,💊,,no,,,si,,,,,Hiperglicemia,ESTE,-1,,,Pierde 1 ❤️. 380 de glicemia: ahora también es diabético. Búscale una insulina.,1,"Sirven para todo. Suben el azúcar, el ánimo y la presión."
R50,Cristaloides,FARMACOS,💊,,no,,,no,,,,,,,0,,,,1,Agua con sal. La primera respuesta a casi todo.
R51,Cristaloides,FARMACOS,💊,,no,,,si,,,,,Sobrecarga de Volumen,ESTE,-1,,,"Pierde 1 ❤️. Tres litros después, los pulmones opinan que fue mucho.",1,Agua con sal. La primera respuesta a casi todo.
R16,Radiografía de Tórax,IMAGEN,🩻,,no,,,no,,,,,,,,,,,3,"Rotada, penetrada y en espiración. Se informa igual."
R17,Radiografía de Tórax,IMAGEN,🩻,,no,,,si,,,,,Hallazgo Incidental,ESTABLE,-1,,,Pierde 1 ❤️. Apareció una sombra que nadie buscaba y todo se detiene hasta estudiarla.,1,"Rotada, penetrada y en espiración. Se informa igual."
R18,Ecografía a Pie de Cama,IMAGEN,🩻,,no,,,no,,,,,,,,,,,3,"Veo algo. No sé qué es, pero lo veo."
R19,Ecografía a Pie de Cama,IMAGEN,🩻,,no,,,si,,,,,Falso Positivo,MEJOR,-1,,,"Pierde 1 ❤️. La hizo el que estaba, no el que sabía: el equipo entero se fue a perseguir la sombra.",1,"Veo algo. No sé qué es, pero lo veo."
R20,TAC de Urgencia,IMAGEN,🩻,,no,,PERSONAL,no,,,,,,,,,,,2,El traslado es más peligroso que la enfermedad. Vamos igual.
R21,TAC de Urgencia,IMAGEN,🩻,,no,,PERSONAL,si,,,,,Incidente en el Traslado,ESTE,-1,,,"Pierde 1 ❤️. El ascensor, el pasillo, la bala de oxígeno al 15%. El viaje era la parte peligrosa.",1,El traslado es más peligroso que la enfermedad. Vamos igual.
R22,Angio-TAC,IMAGEN,🩻,CARD,no,,,no,,,,,,,,,,,2,"Contraste, creatinina, y una fe enorme."
R52,Angio-TAC,IMAGEN,🩻,CARD,no,,,si,,,,,Nefropatía por Contraste,ESTE,-1,,,Pierde 1 ❤️. El contraste pasó. La creatinina también.,1,"Contraste, creatinina, y una fe enorme."
R23,Resonancia con Cupo,IMAGEN,🩻,NEURO,no,,TURNO,no,,,,,,,,,,,1,Existe. La han visto. Hay testigos.
R24,Línea Arterial,PROCEDIMIENTOS,💉,,no,,,no,,,,,,,,,,,2,Al quinto intento salió. Nadie mencionará los cuatro anteriores.
R25,Línea Arterial,PROCEDIMIENTOS,💉,,no,,,si,,,,,Isquemia Distal,ELIGES,-1,,,Pierde 1 ❤️. La mano quedó fría. Hubo que retirar la línea.,1,Al quinto intento salió. Nadie mencionará los cuatro anteriores.
R26,Catéter Venoso Central,PROCEDIMIENTOS,💉,,no,,,no,,,,,,,,,,,3,"Ecoguiado, estéril y con público."
R27,Catéter Venoso Central,PROCEDIMIENTOS,💉,,no,,,si,,,,,Bacteriemia por Catéter,ESTE,-1,,,Pierde 1 ❤️. Dos hemocultivos positivos. El catéter lleva doce días.,1,"Ecoguiado, estéril y con público."
R30,Ventilación Mecánica,PROCEDIMIENTOS,💉,,no,,,no,,,si,,,,,,,,3,Modo controlado. El paciente y el ventilador aún negocian.
R31,Ventilación Mecánica,PROCEDIMIENTOS,💉,,no,,,si,,,si,,Neumonía Asociada a VM,ESTE,-1,,,Pierde 1 ❤️. Lleva ocho días intubado. Ya era esperable.,1,Modo controlado. El paciente y el ventilador aún negocian.
R32,Gases Arteriales,PROCEDIMIENTOS,💉,METAB,no,,,no,,,,,,,,,,,1,pH 7.09. Alguien diga algo inteligente.
R33,Gases Arteriales,PROCEDIMIENTOS,💉,METAB,no,,,si,,,,,Muestra Hemolizada,ELIGES,-1,,,"Pierde 1 ❤️. Se tomó bien, se rotuló bien, se agitó como coctelera: hay que repetirlo todo.",1,pH 7.09. Alguien diga algo inteligente.
R44,Pleurostomía,PROCEDIMIENTOS,💉,RESP,no,,,si,,,,,Fuga Aérea Persistente,ESTE,-1,,,Pierde 1 ❤️. El tubo burbujea y no para. El pulmón no termina de cerrar.,1,Entre la cuarta y la quinta costilla. Por el borde superior. Por favor.
R45,Punción Lumbar,PROCEDIMIENTOS,💉,NEURO,no,,,no,,,,,,,,,,,1,Quédese quietito. Va a sentir un pinchazo... y una cefalea de tres días.
R34,Enfermera de UCI,PERSONAL,🧑‍⚕️,,no,,,no,,"MANEJO ESTÉRIL 🛡️ — Mientras siga sobre este paciente, la Bacteriemia por Catéter no le ocurre.",,Bacteriemia por Catéter,,,,,,,3,Sabe más que tú. Te lo dirá con mucha educación.
